date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:06:48	11326/11326	---M-Z	200	added ('OK')	text/html	etag:%222c3e-62be1483b5d51-gzip%22	https://ministerstvo-pitard.tilda.ws/	/storage/emulated/0/HTTrack/Websites/%d0%bc%d1%96%d0%bd%d1%96%d1%81%d1%82%d0%b5%d1%80%d1%81%d1%82%d0%b2%d0%be%20%d0%bf%d1%96%d1%82%d0%b0%d1%80/ministerstvo-pitard.tilda.ws/index.html	(from )
11:06:48	167/167	---M-Z	200	added ('OK')	text/plain	etag:%22155-62c70636c5132-gzip%22	https://ministerstvo-pitard.tilda.ws/robots.txt		(from )
11:06:49	200398/200398	---MC-	200	added ('OK')	image/png	date:Wed,%2029%20Jan%202025%2009:06:47%20GMT	https://static.tildacdn.info/tild3462-3066-4366-b930-323534656232/-/resize/504x/1000005094.jpg	/storage/emulated/0/HTTrack/Websites/%d0%bc%d1%96%d0%bd%d1%96%d1%81%d1%82%d0%b5%d1%80%d1%81%d1%82%d0%b2%d0%be%20%d0%bf%d1%96%d1%82%d0%b0%d1%80/static.tildacdn.info/tild3462-3066-4366-b930-323534656232/-/resize/504x/1000005094.png	(from https://ministerstvo-pitard.tilda.ws/)
11:06:50	1918/1918	---MCZ	200	added ('OK')	application/javascript	etag:W/%2266f2bc2d-77e%22	https://neo.tildacdn.com/js/tilda-fallback-1.0.min.js	/storage/emulated/0/HTTrack/Websites/%d0%bc%d1%96%d0%bd%d1%96%d1%81%d1%82%d0%b5%d1%80%d1%81%d1%82%d0%b2%d0%be%20%d0%bf%d1%96%d1%82%d0%b0%d1%80/neo.tildacdn.com/js/tilda-fallback-1.0.min.js	(from https://ministerstvo-pitard.tilda.ws/)
11:06:51	4514/4514	---MCZ	200	added ('OK')	text/css	etag:W/%2263f4be99-11a2%22	https://static.tildacdn.info/css/tilda-grid-3.0.min.css	/storage/emulated/0/HTTrack/Websites/%d0%bc%d1%96%d0%bd%d1%96%d1%81%d1%82%d0%b5%d1%80%d1%81%d1%82%d0%b2%d0%be%20%d0%bf%d1%96%d1%82%d0%b0%d1%80/static.tildacdn.info/css/tilda-grid-3.0.min.css	(from https://ministerstvo-pitard.tilda.ws/)
11:06:52	7570/7570	---MCZ	200	added ('OK')	text/css	date:Fri,%2017%20Jan%202025%2006:47:19%20GMT	https://static.tildacdn.info/ws/project11759587/tilda-blocks-page60985677.min.css?t=1737096439	/storage/emulated/0/HTTrack/Websites/%d0%bc%d1%96%d0%bd%d1%96%d1%81%d1%82%d0%b5%d1%80%d1%81%d1%82%d0%b2%d0%be%20%d0%bf%d1%96%d1%82%d0%b0%d1%80/static.tildacdn.info/ws/project11759587/tilda-blocks-page60985677.min106b.css	(from https://ministerstvo-pitard.tilda.ws/)
11:06:53	5097/5097	---MCZ	200	added ('OK')	text/css	etag:W/%2261448d53-13e9%22	https://static.tildacdn.info/css/fonts-tildasans.css	/storage/emulated/0/HTTrack/Websites/%d0%bc%d1%96%d0%bd%d1%96%d1%81%d1%82%d0%b5%d1%80%d1%81%d1%82%d0%b2%d0%be%20%d0%bf%d1%96%d1%82%d0%b0%d1%80/static.tildacdn.info/css/fonts-tildasans.css	(from https://ministerstvo-pitard.tilda.ws/)
11:06:55	21657/21657	---MCZ	200	added ('OK')	application/javascript	etag:W/%226790ddfd-5499%22	https://static.tildacdn.info/js/tilda-scripts-3.0.min.js	/storage/emulated/0/HTTrack/Websites/%d0%bc%d1%96%d0%bd%d1%96%d1%81%d1%82%d0%b5%d1%80%d1%81%d1%82%d0%b2%d0%be%20%d0%bf%d1%96%d1%82%d0%b0%d1%80/static.tildacdn.info/js/tilda-scripts-3.0.min.js	(from https://ministerstvo-pitard.tilda.ws/)
11:06:55	179670/179670	---MCZ	200	added ('OK')	application/javascript	etag:W/%2267401b36-2bdd6%22	https://static.tildacdn.info/js/tilda-polyfill-1.0.min.js	/storage/emulated/0/HTTrack/Websites/%d0%bc%d1%96%d0%bd%d1%96%d1%81%d1%82%d0%b5%d1%80%d1%81%d1%82%d0%b2%d0%be%20%d0%bf%d1%96%d1%82%d0%b0%d1%80/static.tildacdn.info/js/tilda-polyfill-1.0.min.js	(from https://ministerstvo-pitard.tilda.ws/)
11:06:56	511/511	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2017%20Jan%202025%2006:47:19%20GMT	https://static.tildacdn.info/ws/project11759587/tilda-blocks-page60985677.min.js?t=1737096439	/storage/emulated/0/HTTrack/Websites/%d0%bc%d1%96%d0%bd%d1%96%d1%81%d1%82%d0%b5%d1%80%d1%81%d1%82%d0%b2%d0%be%20%d0%bf%d1%96%d1%82%d0%b0%d1%80/static.tildacdn.info/ws/project11759587/tilda-blocks-page60985677.min106b.js	(from https://ministerstvo-pitard.tilda.ws/)
